Question,Answer,qtype
[PubMed] hypertension treatment guidelines [1],"Adherence of Free-Tier Large Language Models to the 2024 European Society of 
Cardiology (ESC) Guidelines for the Management of Elevated Blood Pressure and 
Hypertension: A Comparative Study.",Research
[PubMed] hypertension treatment guidelines [2],"Polus A(1), Boczkowski D(2), Suleiman R(3), Palacz B(4), Kubis NM(5), Wrona 
JA(5), Perz W(6), Teper MM(7), Korolchuk A(7), Piotrowski J(8), Gluzicka A(9), 
Matyas A(10), Tuteja A(11), Sawina P(12), Wielochowska A(13).",Research
[PubMed] hypertension treatment guidelines [3],"Author information:
(1)Internal Medicine, Medical University of Lodz, Lodz, POL.
(2)Internal Medicine, Central Teaching Hospital, Medical University of Lodz, 
Lodz, POL.
(3)Medicine, Wrocław Medical University, Wroclaw, POL.
(4)College of Medicine, Jan Kochanowski University of Kielce, Kielce, POL.
(5)Medicine, Independent Public Health Care Institution, Ministry of Interior 
Affairs and Administration, Kielce, POL.
(6)Medicine, Jan Kochanowski University of Kielce, Kielce, POL.
(7)Medicine, Independent Public Health Care Institution, Ministry of Interior 
Affairs and Administration, Krakow, POL.
(8)Medicine, Copernicus Memorial Hospital, Lodz, POL.
(9)Medicine, Voivodeship Combined Hospital, Kielce, POL.
(10)Medicine, Medical University of Lodz, Lodz, POL.
(11)Medicine, Medical University of Silesia, Katowice, POL.
(12)Internal Medicine, Non-Public Health Care Institution (NZOZ) Hospital, 
Dzierzoniow, POL.
(13)Medicine, Central Teaching Hospital, Medical University of Lodz, Lodz, POL.",Research
[PubMed] hypertension treatment guidelines [4],"Background Hypertension remains the leading modifiable risk factor for 
cardiovascular disease and premature death worldwide. In 2024, the European 
Society of Cardiology (ESC) released updated guidelines for the management of 
elevated blood pressure and hypertension. Concurrently, the integration of 
artificial intelligence into healthcare has accelerated, with large language 
models (LLMs) becoming accessible tools for information retrieval. Objective 
This study aims to evaluate and compare the accuracy and adherence of three 
popular free-tier LLMs (ChatGPT-5.2, Gemini 3 Flash, and Claude 4.5 Sonnet) in 
responding to questions based strictly on the 2024 ESC Guidelines. Methods We 
conducted a comparative cross-sectional study in January 2026 to evaluate the 
performance of three LLMs. The primary source of ground truth was the 2024 ESC 
Guidelines. A dataset of 40 specific questions was generated, covering key 
domains including diagnosis, treatment targets, lifestyle modifications, and 
comorbidities. Questions comprised both factual queries and clinical case 
reports. Responses were categorized by a qualified physician as correct, 
inaccurate, or incorrect based strictly on guidelines. Statistical analysis was 
performed using the Fisher-Freeman-Halton exact test to evaluate differences in 
performance. Results The overall accuracy across all models was high, with no 
statistically significant differences in performance observed (p>0.99). Claude 
4.5 Sonnet achieved the highest numerical accuracy, providing correct responses 
to 33 out of 40 questions (82.5%). ChatGPT-5.2 and Gemini 3 Flash achieved 
identical correctness rates of 80.0% (32 out of 40 correct answers). A 
qualitative analysis revealed a distinct tendency toward overly aggressive 
management in complex clinical scenarios, suggesting a ""safety bias"" where 
models default to intensive intervention rather than nuanced guideline steps. 
Conclusions The evaluated free-tier LLMs demonstrated compara",Research
[PubMed] hypertension treatment guidelines [5],"Conflict of interest statement: Human subjects: All authors have confirmed that 
this study did not involve human participants or tissue. Animal subjects: All 
authors have confirmed that this study did not involve animal subjects or 
tissue. Conflicts of interest: In compliance with the ICMJE uniform disclosure 
form, all authors declare the following: Payment/services info: All authors have 
declared that no financial support was received from any organization for the 
submitted work. Financial relationships: All authors have declared that they 
have no financial relationships at present or within the previous three years 
with any organizations that might have an interest in the submitted work. Other 
relationships: All authors have declared that there are no other relationships 
or activities that could appear to have influenced the submitted work.",Research
[PubMed] hypertension treatment guidelines [6],"Pediatric brain herniation into the dural venous sinuses: a case series and 
review of the literature.",Research
[PubMed] hypertension treatment guidelines [7],"Author information:
(1)University of Central Florida College of Medicine, Orlando, FL, USA.
(2)University of Central Florida College of Medicine, Orlando, FL, USA. 
Greg.Olavarria@nemours.org.
(3)Division of Neurosurgery, Nemours Children's Health, 6535 Nemours Parkway, 
Orlando, FL, 32827, USA. Greg.Olavarria@nemours.org.",Research
[PubMed] hypertension treatment guidelines [8],"PURPOSE: Brain herniation into the dural venous sinus (BHDVS) is a rare and 
underrecognized imaging finding. Although often incidental, it may be associated 
with idiopathic intracranial hypertension (IIH), particularly in adults. 
Pediatric cases remain uncommon. This study presents three pediatric BHDVS cases 
and reviews current literature to highlight clinical relevance, imaging 
features, and management.
METHODS: Pediatric cases of BHDVS were evaluated using magnetic resonance 
imaging. A comprehensive literature review was conducted to summarize current 
knowledge on prevalence, imaging characteristics, clinical presentation, and 
management strategies.
RESULTS: Case 1: A 6-year-old female with daily headaches had right occipital 
lobe herniation into the right transverse sinus with partial sinus filling 
defect, but no signs of raised intracranial pressure. Managed conservatively, 
follow-up imaging showed stability. Case 2: A 3-year-old male evaluated for 
developmental delay was incidentally found to have cerebellar herniation into 
the left transverse sinus. He was asymptomatic and no treatment was required. 
Case 3: A 3-year-old female with epilepsy had an incidental left temporal lobe 
herniation into the transverse sinus. The lesion was unrelated to seizures and 
remained stable without intervention. Very few similar cases were found in a 
literature review; a brief review of existing literature is presented and 
comparisons made between BHDVS and similar conditions.
CONCLUSION: BHDVS may mimic more serious pathology. Accurate recognition of 
imaging, particularly in pediatric patients, is essential to prevent 
misdiagnosis and overtreatment. While typically managed conservatively, its 
association with IIH warrants further investigation. Increased awareness and 
continued study may refine understanding of its clinical implications.",Research
[PubMed] hypertension treatment guidelines [9],"© 2026. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, 
part of Springer Nature.",Research
[PubMed] hypertension treatment guidelines [10],"Conflict of interest statement: Declarations. Ethical approval and consent to 
participate: This study was conducted in accordance with institutional ethical 
guidelines. The project was reviewed by the Nemours Children’s Health 
Institutional Review Board and determined to be exempt from formal IRB approval 
due to its retrospective and de-identified nature. Informed consent was received 
from the patients’ guardians. Conflict of interest: The authors declare no 
competing interests.",Research
[PubMed] hypertension treatment guidelines [11],"3. Heart. 2026 Mar 26:heartjnl-2025-327413. doi: 10.1136/heartjnl-2025-327413. 
Online ahead of print.",Research
[PubMed] hypertension treatment guidelines [12],"Prevalence and characteristics of patients with coronary heart disease and blood 
pressure below target: the INTERASPIRE study.",Research
[PubMed] hypertension treatment guidelines [13],"McCormick JP(1)(2), De Bacquer D(3), Jennings C(1)(2), Kotseva K(2)(4), De 
Backer G(3), Erlund I(5), Ganly S(1)(2), Vihervaara T(5), Lip GYH(6), Ray KK(7), 
Rydén L(8), Adamska A(1)(2), Abreu A(9), Almahmeed W(10), Ambari AM(11), Ge 
J(12), Hasan-Ali H(13), Huo Y(14), Jankowski P(15), Jimenez RM(16), Li Y(17), 
Mahmood Zuhdi AS(18), Makubi A(19), Mbakwem AC(20), Mbau L(21), Navarro Estrada 
JL(22), Ogah OS(23), Ogola EN(24), Quintero-Baiz A(25), Sani MU(26), Sosa 
Liprandi MI(27), Tan JWC(28), Urina Triana MA(25), Yeo TJ(29), Wood D(1)(2), 
McEvoy JW(30)(2)(31).",Research
[PubMed] hypertension treatment guidelines [14],"Author information:
(1)School of Medicine, University of Galway, Galway, Ireland.
(2)National Institute for Prevention and Cardiovascular Health, Galway, Ireland.
(3)Department of Public Health and Primary Care, Ghent University, Ghent, 
Belgium.
(4)Imperial Cardiovascular Health Service, Imperial College Healthcare NHS 
Trust, London, UK.
(5)Institute for Nutrition and Health Research, Helsinki, Finland.
(6)Liverpool Centre for Cardiovascular Science, University of Liverpool, 
Liverpool, Merseyside, UK.
(7)Primary Care and Public Health, Imperial College London, London, UK.
(8)Department of Medicine, Cardiology Unit, Karolinska Institute, Stockholm, 
Sweden.
(9)Hospital S Ana, Cardiology Service, University of Lisbon, Lisbon, Portugal.
(10)Cleveland Clinic Abu Dhabi, Abu Dhabi, UAE.
(11)National Cardiovascular Center Harapan Kita, Universitas Indonesia, Jakarta, 
Indonesia.
(12)Fudan University Zhongshan Hospital, Shanghai, China.
(13)Cardiovascular Medicine Department, Assiut University, Asyut, Egypt.
(14)Peking University First Hospital, Beijing, China.
(15)Internal Medicine and Geriatric Cardiology, Centre for Postgraduate Medical 
Education, Warsaw, Poland.
(16)Philippine Heart Association and St Luke's Medical Center, St Luke's Medical 
Center, Global City, Indonesia.
(17)Huashan Hospital Fudan University, Shanghai, China.
(18)Department of Medicine, Cardiology Unit, Kuala Lumpur, Malaysia.
(19)Catholic University of Health And Allied Sciences Weill Bugando School of 
Medicine, Mwanza, Tanzania, United Republic of.
(20)Medicine, University of Lagos College of Medicine, Lagos, Nigeria.
(21)Kenya Cardiac Society, Nairobi, Kenya.
(22)Italian Hospital of Buenos Aires, Buenos Aires, Argentina.
(23)Department of Medicine, University of Ibadan, Ibadan, Nigeria.
(24)Department of Clinical Medicine, University of Nairobi, Nairobi, Kenya.
(25)Faculty of Health Sciences, Simon Bolivar University Life Sciences Research 
Center, Barranquilla, Colombia.
(26)Department of Me",Research
[PubMed] hypertension treatment guidelines [15],"BACKGROUND: Despite treatment, many hypertensive patients with coronary heart 
disease (CHD) have blood pressure (BP) that remains above guideline targets. 
However, less is known about patients in whom on-treatment BP is below target 
and major European guidelines differ substantially in their recommendations for 
such patients. Specifically, 2023 European Society of Hypertension (ESH) 
guidelines provide a Class 3 recommendation to proactively avoid BP below target 
whereas 2024 European Society of Cardiology (ESC) guidelines do not.
METHODS: Between 2020 and 2023, adults hospitalised in the previous 6-24 months 
with incident or recurrent CHD were sampled in 14 countries from all six WHO 
regions and invited for a standardised interview and examination as part of the 
International Action on Secondary and Primary Prevention by Intervention to 
Reduce Events (INTERASPIRE) study. We measured seated BP twice using an 
automated oscillometric device after 5 min of rest. We defined participants as 
having BP above target (BP ≥130/80 mm Hg), at target (BP 120-129/70-79 mm Hg) or 
below target (<120/70 mm Hg); according to both 2023 ESH and 2024 ESC 
guidelines.
RESULTS: Among 4548 participants (21.1% female), the mean age (±SD) was 60.0 
(±10.3) years. At a median (IQR) of 1.05 (0.76-1.45) years after index CHD 
hospitalisation, 10.3% of patients had BP readings within the target range of 
120-129/70-79 mm Hg, with 53.9% above target and 35.7% below target. Patients 
with below-target BP were more likely to have heart failure (13.6% vs 10.0%, 
p=0.041) and estimated glomerular filtration rate <60 mL/min/1.73 m² (18.9% vs 
10.7%, p<0.001), when compared with those at target. They were also 
statistically more likely to be severely frail (p=0.030). The median number of 
BP-lowering medications did not differ significantly between the 3 BP target 
groups. Cumulative dosing of BP-lowering medications in the below-target group 
was also not more intensive than that in the a",Research
[PubMed] hypertension treatment guidelines [16],"© Author(s) (or their employer(s)) 2026. No commercial re-use. See rights and 
permissions. Published by BMJ Group.",Research
[PubMed] hypertension treatment guidelines [17],"Conflict of interest statement: Competing interests: LR has received research 
grants from Boehringer Ingelheim, Swedish Heart and Lung Foundation, Erling 
Persson Foundation and Novo Nordisk, and honoraria from Bayer, Boehringer 
Ingelheim and Novo Nordisk. GYHL is a consultant/speaker for BMS/Pfizer, 
Boehringer Ingelheim, Daiichi Sankyo and Anthos, without personal remuneration. 
AAb has received a grant from SPC for laboratory testing for this study in 
Portugal and honoraria from Ferrer and Daiichi Sankyo. JWCT has received 
research and educational grants from Medtronic, Amgen, AstraZeneca, Roche 
Edwards, Abbott Vascular and Menarini, consulting fees from J&J and Medtronic, 
honoraria from AstraZeneca, Amgen, Medtronic, Abbott Vascular, Biosensors, 
Boehringer Ingelheim and Novartis. JWCT has participated on a Data Safety 
Monitoring Board or Advisory Board of Novartis and Medtronic, and he is a Board 
Member of Singapore Heart Foundation, Asian Pacific Society of Singapore, 
Singapore Cardiac Society and World Heart Federation. DW has received research 
grants from the European Atherosclerosis Society, European Society of 
Cardiology, International Atherosclerosis Society, Novartis, Pfizer, Sanofi and 
Viatris to the National Institute for Prevention and Cardiovascular Health. KKR 
reports unrestricted research grants (last 3 years) to Imperial College London, 
Amgen, Sanofi, Regeneron, Daiichi Sankyo and Ultragenix; consulting fees from 
Novartis, Daiichi Sankyo, Kowa, Esperion, Novo Nordisk, MSD, Lilly, Silence 
Therapeutics, AZ, New Amsterdam Pharma, Bayer, Beren Therapeutics, Cleerly, 
EmendoBio, Scribe, CRISPR, Vaxxinity, Amarin, Regeneron, Ultragenix, Cargene, 
Resverlogix for serving as a member of the SC or EC of clinical trials and roles 
as PI, NLI. Attending advisory boards, providing advice on data, its 
interpretation and future lines of research; lecture fees from Novartis, BI, AZ, 
Novo Nordisk, Viatris, Amarin, Biologix Pharma, Sanofi, Amgen,",Research
[PubMed] hypertension treatment guidelines [18],"4. Heart Rhythm. 2026 Mar 24:S1547-5271(26)02172-7. doi: 
10.1016/j.hrthm.2026.03.1917. Online ahead of print.",Research
[PubMed] hypertension treatment guidelines [19],"Impact of blood pressure on the risk of stroke and all-cause mortality in 
patients with atrial fibrillation across different age groups: a nationwide 
population-based study.",Research
[PubMed] hypertension treatment guidelines [20],"Jeong MH(1), Lee SR(2), Choi EK(3), Go YH(1), Rha HW(1), Yeo MH(4), Lee KY(1), 
Choi J(1), Ahn HJ(1), Kwon S(5), Kim B(6), Han K(6), Oh S(2), Lip GYH(7).",Research
[PubMed] hypertension treatment guidelines [21],"Author information:
(1)Department of Internal Medicine, Seoul National University Hospital, Seoul, 
Republic of Korea.
(2)Department of Internal Medicine, Seoul National University Hospital, Seoul, 
Republic of Korea; Department of Internal Medicine, Seoul National University 
College of Medicine, Seoul, Republic of Korea.
(3)Department of Internal Medicine, Seoul National University Hospital, Seoul, 
Republic of Korea; Department of Internal Medicine, Seoul National University 
College of Medicine, Seoul, Republic of Korea. Electronic address: 
choiek17@snu.ac.kr.
(4)Department of Internal Medicine, Seoul National University College of 
Medicine, Seoul, Republic of Korea.
(5)Division of Cardiology, Department of Internal Medicine, Boramae Medical 
Center, Seoul National University College of Medicine, Seoul, Republic of Korea.
(6)Statistics and Actuarial Science, Soongsil University, Seoul, Republic of 
Korea.
(7)Department of Internal Medicine, Seoul National University College of 
Medicine, Seoul, Republic of Korea; Liverpool Centre for Cardiovascular Science, 
University of Liverpool, Liverpool John Moores University and Liverpool Chest & 
Heart Hospital, Liverpool, United Kingdom; Danish Center for Clinical Health 
Services Research, Department of Clinical Medicine, Aalborg University, Aalborg, 
Denmark.",Research
[PubMed] hypertension treatment guidelines [22],"BACKGROUND: Elevated blood pressure (BP) in patients with atrial fibrillation 
(AF) is strongly linked to poor outcomes.
OBJECTIVE: This study assessed the impact of BP on the risk of ischemic stroke 
and all-cause death in patients with AF across different age groups.
METHODS: We included 338,747 patients newly diagnosed with AF between 2009 and 
2016, with national health screening data. Patients were divided into four age 
groups (40-49, 50-59, 60-69, ≥70 years) and categorized by systolic BP (SBP) and 
diastolic BP (DBP) according to the 2023 European hypertension guidelines as 
follows: optimal BP, normal BP, high normal BP, grade 1 hypertension, and grade 
≥ 2 hypertension. The primary outcome was ischemic stroke, and the secondary 
outcome was all-cause death. We additionally performed analyses stratified by 
antihypertensive treatment status.
RESULTS: Over a median follow-up of 6.0 (interquartile range, 4.0-8.6) years, 
39,329 patients experienced a stroke, and 104,712 died. Stroke incidence was 
significantly higher in grade 1 and grade ≥2 hypertension across all age groups. 
Stroke risk increased with SBP ≥160 mmHg and DBP ≥90 mmHg, particularly in 
younger patients with elevated BP. Grade ≥2 hypertension was consistently linked 
to higher mortality across all age groups, while normal BP was associated with 
the lowest mortality rates. Extremely low BP was also related to a higher risk 
of mortality.
CONCLUSIONS: High BP was associated with higher risks of stroke and mortality in 
AF patients, especially in younger individuals. Conversely, excessively low BP 
was linked to higher mortality, highlighting the importance of balanced BP 
control in patients with AF.",Research
[PubMed] hypertension treatment guidelines [23],"Lim MC(1), Quek EJW(2), Chan TYH(3), Teng M(2)(4)(5), Ng CH(2)(6)(7)(8), 
Gnanavelou M(3), Chen VL(9), Fallowfield JA(10), Zhang H(11), Noureddin M(12), 
Ko D(13), Nah B(2), Takahashi H(14), Siddiqui MS(15), Lai JC(16)(17), 
Wijarnpreecha K(18), Zheng M(19)(20), Kumar R(21), Rattananukrom C(22), Kow 
A(23), Syn N(24)(25), Wang YC(26), Nakajima A(27), Tang A(28), Lee 
JM(29)(30)(31), Huang DQ(2)(3)(32), Muthiah M(2)(3)(32), Sirlin CB(33).",Research
[PubMed] hypertension treatment guidelines [24],"Author information:
(1)Department of Diagnostic Imaging, National University Hospital, Singapore 
City, Singapore.
(2)Division of Gastroenterology and Hepatology, Department of Medicine, National 
University Hospital, Singapore City, Singapore.
(3)Yong Loo Lin School of Medicine, National University of Singapore, Singapore 
City, Singapore.
(4)Department of Gastroenterology, Alexandra Hospital, Singapore City, 
Singapore.
(5)Department of Medicine, Alexandra Hospital, Singapore City, Singapore.
(6)Division of Gastroenterology, Department of Medicine, Kurume University 
School of Medicine, Kurume, Japan.
(7)Visiting Assistant Professor Graduate School of Medicine, Yokohama City 
University, Yokohama, Japan.
(8)Department of Gastroenterology and Hepatology, Yokohama City University 
School of Medicine, Yokohama, Japan.
(9)Division of Gastroenterology and Hepatology, Department of Internal Medicine, 
University of Michigan Medical School, Ann Arbor, Michigan, USA.
(10)Centre for Inflammation Research, Institute for Regeneration and Repair, 
University of Edinburgh, Edinburgh, UK.
(11)Department of Radiology, The First Hospital of Jilin University, Changchun, 
China.
(12)Houston Methodist Hospital, Houston Research Institute, Houston, Texas, USA.
(13)Department of Medicine, Bridgeport Hospital Yale New Haven Health, 
Bridgeport, Connecticut, USA.
(14)Division of Metabolism and Endocrinology, Faculty of Medicine, Saga 
University, Saga, Japan.
(15)School of Medicine, University of Virginia, Charlottesville, Virginia, USA.
(16)Medical Data Analytics Centre, The Chinese University of Hong Kong, Hong 
Kong, Hong Kong.
(17)Li Ka Shing Institute of Health Sciences and State Key Laboratory of 
Digestive Disease, The Chinese University of Hong Kong, Hong Kong, Hong Kong.
(18)Division of Gastroenterology and Hepatology, University of Arizona College 
of Medicine Phoenix, Phoenix, Arizona, USA.
(19)MAFLD Research Centre, Department of Hepatology, the First Affiliated 
Hospital of",Research
[PubMed] hypertension treatment guidelines [25],"BACKGROUND: Cirrhosis is the irreversible architectural endpoint of chronic 
liver disease and is the greatest risk factor for hepatocellular carcinoma 
(HCC). Despite its centrality in HCC management algorithms, there are no 
standardised morphologic criteria for diagnosing cirrhosis on cross-sectional 
imaging. Criteria used in clinical studies and clinical practice guidelines have 
not been reviewed systematically. We aim to assess cross-sectional imaging 
criteria in clinical practice guidelines and clinical studies.
METHOD: We appraised clinical practice guidelines from major hepatology or 
radiological associations and conducted a systematic review of MEDLINE and 
EMBASE to identify original studies using ultrasound, CT, and MRI to diagnose 
liver cirrhosis from 1 January 2015 to 5 November 2025. Studies were classified 
as having clear, indirect, or no definition. Bias for diagnostic accuracy 
studies was assessed using QUADAS-2.
RESULTS: Among 18 clinical practice guidelines, only 3 specified explicit 
imaging-based criteria for diagnosing cirrhosis in at-risk populations. From 
6859 records screened, 73 studies (n = 41,417 patients) met inclusion criteria. 
Only 4 (5%) studies provided a clear definition, 55 (75%) provided indirect 
definition, and 14 (19%) provided no imaging criteria. Diagnostic performance of 
imaging features for cirrhosis varied across modalities. While CT and MRI 
offered higher specificity for certain features (e.g., regenerative nodules), no 
single modality or feature was sufficient, highlighting the need for 
standardised morphological-based criteria applicable for several modalities.
CONCLUSION: Despite the widespread use of cross-sectional imaging in cirrhosis, 
there is no consensus-based, standardised imaging definition. This highlights 
the urgent need for a standardised, morphology-based definition of cirrhosis.",Research
[PubMed] hypertension treatment guidelines [26],"Parenteral treprostinil in paediatric pulmonary arterial hypertension: a 
systematic review and meta-analysis.",Research
[PubMed] hypertension treatment guidelines [27],"Author information:
(1)Paediatric Cardiology Unit, Service of Pediatric Specialties, Department of 
Woman, Child and Adolescent Medicine, Geneva University Hospitals and Faculty of 
Medicine, University of Geneva, Geneva, Switzerland julie.wacker@hug.ch.
(2)Pulmonary Hypertension Program, Geneva University Hospitals, Geneva, 
Switzerland.
(3)Paediatric Cardiology Unit, Service of Pediatric Specialties, Department of 
Woman, Child and Adolescent Medicine, Geneva University Hospitals and Faculty of 
Medicine, University of Geneva, Geneva, Switzerland.",Research
[PubMed] hypertension treatment guidelines [28],"BACKGROUND: Paediatric pulmonary arterial hypertension (PAH) shares 
commonalities with adult disease but is essentially different regarding 
complexity and is usually more challenging to treat. Current treatment 
recommendations are based on expert opinion, small-scale paediatric studies and 
knowledge and consolidated guidelines for adults. Parenteral prostacyclins are 
recommended for high-risk patients but evidence is limited to cohort studies and 
retrospective data evaluations. The aim of this article was to summarise the 
available evidence on the efficacy and safety of parenteral treprostinil for 
paediatric PAH through a systematic review and to evaluate selected efficacy 
end-points through meta-analysis.
METHOD: A systematic literature search (January 2000-April 2024) was conducted 
in PubMed, Google Scholar and clinical trial registries. Eligible studies 
included those reporting long-term outcomes of parenteral treprostinil in 
children with PAH. Moreover, a meta-analysis of selected efficacy end-points was 
performed based on published results from studies meeting predefined criteria.
RESULTS: 32 studies encompassing 766 paediatric PAH patients treated with 
parenteral prostacyclins were identified; 649 patients received treprostinil. 
The meta-analysis was based on five publications including a total of 143 
treprostinil-naïve patients. Despite the lack of randomised controlled trials, 
available data clearly indicate a treatment benefit of parenteral treprostinil 
in paediatric PAH. Literature data are supported by statistically significant 
results in the meta-analysis for PAH-relevant efficacy end-points.
CONCLUSION: Based on currently available published data, parenteral treprostinil 
is effective and safe in the treatment of paediatric PAH.",Research
